업종,상호,지번주소,도로명주소
체력단련장업,크로스핏 핏불,서울특별시 성동구 성수동1가 709 성수2차대우아파트 지하1층 상가동 ,"서울특별시 성동구 상원6길 14, 성수2차대우아파트 상가동 지하1층 (성수동1가)"
체력단련장업,얼라이브짐,"서울특별시 성동구 하왕십리동 1070 센트라스 H동  204,205호 ","서울특별시 성동구 왕십리로 410, H동 204,205호 (하왕십리동, 센트라스)"
체력단련장업,무브먼트 프로젝트,서울특별시 성동구 성수동1가 656-365 ,"서울특별시 성동구 성수일로 1, 2층 2호 (성수동1가)"
체력단련장업,비 스튜디오(Be studio),서울특별시 성동구 성수동2가 289-8 ,"서울특별시 성동구 성수이로 127, 2층 202,203호 (성수동2가)"
체력단련장업,나의 근육 사용설명서,서울특별시 성동구 성수동2가 284-62 ,"서울특별시 성동구 성수일로10길 26, 204호 (성수동2가)"
체력단련장업,파크짐 한양대점,서울특별시 성동구 행당동 32-6 ,"서울특별시 성동구 왕십리로 223, 지하1,2층 (행당동)"
체력단련장업,크로스핏 아띠,서울특별시 성동구 도선동 402 승우카센타 ,"서울특별시 성동구 무학로 8, 승우카센타 지하1층 (도선동)"
체력단련장업,힐앤핏,서울특별시 성동구 옥수동 218-1 ,"서울특별시 성동구 한림말길 18, 501-1호 (옥수동)"
체력단련장업,(주)프롬더바디,서울특별시 성동구 성수동1가 656-75 ,"서울특별시 성동구 왕십리로 115, 9층 905호 (성수동1가)"
체력단련장업,더블에이피트니스,서울특별시 성동구 옥수동 563 ,"서울특별시 성동구 매봉길 48, 지하2층 201~204, 206,207호 (옥수동)"
체력단련장업,(주)스포티즌 엑시온점,서울특별시 성동구 성수동2가 280-38 아인빌딩 ,"서울특별시 성동구 광나루로 286, 아인빌딩 6층 (성수동2가)"
체력단련장업,운동연구소,서울특별시 성동구 옥수동 284-14 동호빌딩 ,"서울특별시 성동구 독서당로 212, 동호빌딩 (옥수동)"
체력단련장업,알엑스 퍼스널 트레이닝,서울특별시 성동구 행당동 229-4 ,"서울특별시 성동구 왕십리로 284-1, 2층 (행당동)"
체력단련장업,(주)운동의 정석,서울특별시 성동구 도선동 53 한성아펠타워 ,"서울특별시 성동구 왕십리로 322, 한성아펠타워 B1~B3호 (도선동)"
체력단련장업,빅브로짐 휘트니스 성수점,서울특별시 성동구 성수동1가 656-75 ,"서울특별시 성동구 왕십리로 115, 지하층 (성수동1가)"
체력단련장업,더새로워짐,서울특별시 성동구 성수동2가 315-73 유원지식산업센터 ,"서울특별시 성동구 성수일로6길 53, 유원지식산업센터 2층 (성수동2가)"
체력단련장업,더바른몸PT,서울특별시 성동구 도선동 46 W에비뉴타워 ,"서울특별시 성동구 왕십리로 320, W에비뉴타워 503호 (도선동)"
체력단련장업,성수역점 스포애니,서울특별시 성동구 성수동2가 317-23 세종빌딩 ,"서울특별시 성동구 성수이로20길 3, 세종빌딩 (성수동2가)"
체력단련장업,ST 요가앤PT,서울특별시 성동구 옥수동 362-1 교연학원 ,"서울특별시 성동구 한림말3길 10, 교연학원 지하1층 (옥수동)"
체력단련장업,리커버 필라테스 PT,서울특별시 성동구 행당동 192-29 성동샤르망 ,"서울특별시 성동구 고산자로 284, 성동샤르망 206호 (행당동)"
체력단련장업,에이블짐 한양대점,서울특별시 성동구 행당동 12-5 미진빌딩 ,"서울특별시 성동구 마조로 30, 미진빌딩 지층 101호 (행당동)"
체력단련장업,오늘 운동,서울특별시 성동구 하왕십리동 1066 텐즈힐 ,"서울특별시 성동구 무학로 33, 152동 b107호 (하왕십리동, 텐즈힐)"
